Forecast_time,Temperature,Humidity,WindSpeed,Cloud,solar Generation,Rad
2023-01-01 0:00,0,70,1.3,1,0,0
2023-01-01 1:00,0,70,1.3,1,0,0
2023-01-01 2:00,0,70,1.2,3,0,0
2023-01-01 3:00,0,75,1.3,3,0,0
2023-01-01 4:00,0,80,1.4,3,0,0
2023-01-01 5:00,0,85,1.7,1,0,0
2023-01-01 6:00,-1,80,1.7,1,0,0
2023-01-01 7:00,-2,80,1.5,1,0,0
2023-01-01 8:00,-2,75,1.5,1,0,0
2023-01-01 9:00,-1,65,2.1,1,2,0.43
2023-01-01 10:00,0,55,2.3,1,12,1.22
2023-01-01 11:00,1,45,2.5,1,18,1.61
2023-01-01 12:00,2,40,2.8,1,23,1.68
2023-01-01 13:00,2,35,2.9,1,25,1.83
2023-01-01 14:00,3,30,2.9,1,22,1.72
2023-01-01 15:00,2,30,2.9,1,20,1.32
2023-01-01 16:00,2,35,2.7,1,12,0.95
2023-01-01 17:00,1,40,1.9,1,3,0.37
2023-01-01 18:00,-1,45,2.1,1,0,0.01
2023-01-01 19:00,-2,45,2.5,1,0,0
2023-01-01 20:00,-2,45,2.6,1,0,0
2023-01-01 21:00,-3,45,2.6,1,0,0
2023-01-01 22:00,-4,50,2.7,1,0,0
2023-01-01 23:00,-5,50,2.8,1,0,0
2023-01-02 0:00,-5,50,3.2,3,0,0
2023-01-02 1:00,-5,50,3,4,0,0
2023-01-02 2:00,-6,50,3,3,0,0
2023-01-02 3:00,-6,50,3,4,0,0
2023-01-02 4:00,-7,50,3,3,0,0
2023-01-02 5:00,-7,55,2.8,4,0,0
2023-01-02 6:00,-8,50,2.5,4,0,0
2023-01-02 7:00,-8,50,2.5,1,0,0
2023-01-02 8:00,-8,50,2.3,1,0,0
2023-01-02 9:00,-7,45,3,1,2,0.29
2023-01-02 10:00,-5,40,3.2,1,12,0.91
2023-01-02 11:00,-4,30,3.2,1,20,1.44
2023-01-02 12:00,-3,30,3.1,1,23,1.75
2023-01-02 13:00,-2,25,3.1,1,26,1.91
2023-01-02 14:00,-1,30,2.9,1,25,1.82
2023-01-02 15:00,-1,30,2.8,1,20,1.51
2023-01-02 16:00,-1,30,2.6,1,14,1.01
2023-01-02 17:00,-2,35,1.7,1,2,0.44
2023-01-02 18:00,-3,40,1.6,1,0,0.01
2023-01-02 19:00,-4,45,1.9,1,0,0
